Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0055307,0.01516,0.31097,0,0,0,20,0.14156,8.5545E-05,0.00013573,0.14292,-1.9204E-06,0.19802,0,0,0,0,0,0,package://nrdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://nrdf/meshes/base_link.STL,,basejoint shell-1;shell-cantilever-1;shell1-1;wheel chassis-1;basecorenew-1;circle-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link_1,-0.00027729,0.01005,0.060567,0,0,0,0.91,0.0007315,4.0673E-06,-1.703E-06,0.00068148,-7.0581E-05,0.00062056,0,0,0,0,0,0,package://nrdf/meshes/arm_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://nrdf/meshes/arm_link_1.STL,,arm-base joint-1,base-connector_roll,A_base-connector_roll,arm_joint_1,continuous,0,0.01,0.7938,0,0,0,base_link,0,0,-1,30,0.5,,,,,,,,,,
arm_link_2,2.2679E-08,0.19924,0.037556,0,0,0,0.61,0.0030576,6.4503E-08,-5.9336E-11,0.0003437,-1.2481E-10,0.0031487,0,0,0,0,0,0,package://nrdf/meshes/arm_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://nrdf/meshes/arm_link_2.STL,,arm2-1;arm1-2connector-1,connector-arm1_roll,A_connector-arm1_roll,arm_joint_2,revolute,0,-0.028,0.07788,1.5708,0,0,arm_link_1,0,0,-1,30,0.5,-1.57,1.57,,,,,,,,
arm_link_3,-0.004989,-0.21609,0.034665,0,0,0,1.27,0.0016994,3.3526E-07,3.4668E-06,0.00057506,4.4555E-06,0.0016877,0,0,0,0,0,0,package://nrdf/meshes/arm_link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://nrdf/meshes/arm_link_3.STL,,arm1new-1,arm1-arm2_roll,A_arm1-arm2_roll,arm_joint_3,revolute,0,0.4,0,3.1416,0,0,arm_link_2,0,0,1,30,0.5,-1.57,1.57,,,,,,,,
arm_link_4,-0.070164,2.4195E-16,0.042022,0,0,0,0.45,0.00013075,1.5223E-18,0.00017126,0.00044213,-9.537E-19,0.00034462,0,0,0,0,0,0,package://nrdf/meshes/arm_link_4.STL,1,1,1,1,0,0,0,0,0,0,package://nrdf/meshes/arm_link_4.STL,,connection rod-camera2-1,arm2-arm3_roll,A_arm2-arm3_roll,arm_joint_4,continuous,0,-0.47088,0.028,1.5708,0,0,arm_link_3,0,0,1,,,,,,,,,,,,
arm_link_5,-0.0017203,-0.063107,0.072647,0,0,0,0.45,0.0006156,-6.2991E-06,1.0648E-05,0.0004255,0.00023199,0.00022502,0,0,0,0,0,0,package://nrdf/meshes/arm_link_5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://nrdf/meshes/arm_link_5.STL,,connection rod-camera-1,arm3-arm4_roll,A_arm3-arm4_roll,arm_joint_5,revolute,-0.099888,0,0.077538,0,0.94248,0,arm_link_4,0,0,1,0,0,-3.2,1.57,,,,,,,,
arm_link_6,-0.0050729,0.033014,0.045516,0,0,0,0.24,0.0002457,9.9849E-06,1.7169E-05,0.0001741,-7.7172E-05,0.0001101,0,0,0,0,0,0,package://nrdf/meshes/arm_link_6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://nrdf/meshes/arm_link_6.STL,,camera connector-2,arm4-arm5_roll,A_arm4-arm5_roll,arm_joint_6,revolute,-0.0031465,-0.075,0.12575,-1.5708,-0.94248,0,arm_link_5,0,0,1,0,0,-3.2,1.57,,,,,,,,
cam_link,-0.0092646,-4.9407E-05,0.0061835,0,0,0,1.7,0.0003447,-6.5753E-06,2.4463E-05,0.00056714,1.3806E-06,0.00070106,0,0,0,0,0,0,package://nrdf/meshes/cam_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://nrdf/meshes/cam_link.STL,,camera new-2,camera,A_camera,cam_joint,fixed,0,0.0065609,0.10147,0,-1.5708,0,arm_link_6,0,0,0,,,,,,,,,,,,
